Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
cable-usbc-lightning-100w,CABLE USB-C A LIGHTNING CARGA RÁPIDA 100W,<p>CABLE USB-C A LIGHTNING CARGA RÁPIDA 100W con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,CB-USBC-100W,250,shopify,25,deny,manual,75000,86250,TRUE,FALSE,https://images.unsplash.com/photo-1546054454-aa26e2b734c7?auto=format&fit=crop&w=800&q=80,1,active
combo-apple-lovers,COMBO APPLE LOVERS (IPHONE 17 PRO MAX + APPLE WATCH ULTRA 2 + AIRPODS),<p>COMBO APPLE LOVERS (IPHONE 17 PRO MAX + APPLE WATCH ULTRA 2 + AIRPODS) con garantía oficial Tecno+.</p>,Tecno+,Combos,Combos,"Combos, tecno-plus",TRUE,Title,Default Title,CMB-APPLE-01,250,shopify,5,deny,manual,6099000,7013850,TRUE,FALSE,https://images.unsplash.com/photo-1695048133142-1a20484d2569?auto=format&fit=crop&w=800&q=80,1,active
combo-tech-xiaomi,COMBO TECH XIAOMI (REDMI NOTE 15 PRO + REDMI WATCH 5),<p>COMBO TECH XIAOMI (REDMI NOTE 15 PRO + REDMI WATCH 5) con garantía oficial Tecno+.</p>,Tecno+,Combos,Combos,"Combos, tecno-plus",TRUE,Title,Default Title,CMB-XIAOMI-01,250,shopify,6,deny,manual,749000,861350,TRUE,FALSE,https://images.unsplash.com/photo-1598327105666-5b89351aff97?auto=format&fit=crop&w=800&q=80,1,active
combo-vibra-xiaomi,COMBO VIBRA XIAOMI (REDMI NOTE + AUDÍFONOS + PARLANTE),<p>COMBO VIBRA XIAOMI (REDMI NOTE + AUDÍFONOS + PARLANTE) con garantía oficial Tecno+.</p>,Tecno+,Combos,Combos,"Combos, tecno-plus",TRUE,Title,Default Title,CMB-VIBRA-01,250,shopify,7,deny,manual,449000,516350,TRUE,FALSE,https://images.unsplash.com/photo-1519389950473-47ba0277781c?auto=format&fit=crop&w=800&q=80,1,active
parlantes-premium-recargables-retroiluminados-30w-pt-0p103,PARLANTES PREMIUM RECARGABLES RETROILUMINADOS 30W,<p>PARLANTES PREMIUM RECARGABLES RETROILUMINADOS 30W con garantía oficial Tecno+.</p>,Tecno+,Sonido y Audio,Sonido y Audio,"Sonido y Audio, tecno-plus",TRUE,Title,Default Title,PT-0P103,250,shopify,3,deny,manual,260000,299000,TRUE,FALSE,https://goatmayoristas.com/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-01-at-07.31.44.jpeg,1,active
cabina-de-sonido-soundplus-s8-play-corn-s8,CABINA DE SONIDO SOUNDPLUS S8 PLAY CORN,<p>CABINA DE SONIDO SOUNDPLUS S8 PLAY CORN con garantía oficial Tecno+.</p>,Tecno+,Sonido y Audio,Sonido y Audio,"Sonido y Audio, tecno-plus",TRUE,Title,Default Title,S8,250,shopify,2,deny,manual,290000,333500,TRUE,FALSE,https://http2.mlstatic.com/D_NQ_NP_783098-MCO93877141236_102025-O.webp,1,active
barra-de-sonido-y-subwoofer-j-r-j5242,BARRA DE SONIDO Y SUBWOOFER J&R,<p>BARRA DE SONIDO Y SUBWOOFER J&R con garantía oficial Tecno+.</p>,Tecno+,Sonido y Audio,Sonido y Audio,"Sonido y Audio, tecno-plus",TRUE,Title,Default Title,J5242,250,shopify,1,deny,manual,625000,718750,TRUE,FALSE,https://www.megaaudiostore.com/wp-content/uploads/2022/08/JYR-J5242-1.webp,1,active
todo-en-uno-celeron-15-6-6-gen-40192,"TODO EN UNO CELERON 15.6"" 6 GEN","<p>TODO EN UNO CELERON 15.6"" 6 GEN con garantía oficial Tecno+.</p>",Tecno+,Cómputo y Accesorios,Cómputo y Accesorios,"Cómputo y Accesorios, tecno-plus",TRUE,Title,Default Title,40192,250,shopify,1,deny,manual,1500000,1725000,TRUE,FALSE,https://jaltechsas.com/wp-content/uploads/2024/06/TODO-EN-UNO-CELERON-15.6-6-GEN_40192_JALCEL-6GEN_10.png,1,active
cabina-activa-recargable-12-j5131,"CABINA ACTIVA RECARGABLE 12""","<p>CABINA ACTIVA RECARGABLE 12"" con garantía oficial Tecno+.</p>",Tecno+,Sonido y Audio,Sonido y Audio,"Sonido y Audio, tecno-plus",TRUE,Title,Default Title,J5131,250,shopify,2,deny,manual,800000,920000,TRUE,FALSE,https://www.lanotamusical.com/wp-content/uploads/2023/08/J5161-1-1.jpg,1,active
diadema-bluetooth-j-r-077-mv,DIADEMA BLUETOOTH J&R,<p>DIADEMA BLUETOOTH J&R con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,077-MV,250,shopify,2,deny,manual,250000,287500,TRUE,FALSE,https://samcell.com.co/wp-content/uploads/2024/02/077-MV-4-scaled-1.jpg,1,active
diadema-j-r-bluetooth-de-larga-duracion-055-mv,DIADEMA J&R BLUETOOTH DE LARGA DURACION,<p>DIADEMA J&R BLUETOOTH DE LARGA DURACION con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,055-MV,250,shopify,1,deny,manual,90000,103500,TRUE,FALSE,https://exitocol.vtexassets.com/arquivos/ids/10989550/audifonos-diadema-bluetooth-duracion-12-horas-fmmicrosd-jyr-055-mv.jpg?v=637732241517500000,1,active
audifonos-bluetooth-pink-y08-3053432,AUDIFONOS BLUETOOTH PINK Y08,<p>AUDIFONOS BLUETOOTH PINK Y08 con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,3053432,250,shopify,1,deny,manual,35000,40250,TRUE,FALSE,https://jaltechsas.com/wp-content/uploads/2023/07/AUDIFONOS-BLUETOOTH-PINK-Y08_30534_Y08_1-600x600.png,1,active
diadema-j-r-stereo-sin-microfono-062-mv,DIADEMA J&R STEREO SIN MICROFONO,<p>DIADEMA J&R STEREO SIN MICROFONO con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,062-MV,250,shopify,1,deny,manual,32000,36800,TRUE,FALSE,https://acdn-us.mitiendanube.com/stores/004/919/177/products/062-mv-1-28a39eacfe8bacc32a17413880909317-480-0.webp,1,active
diadema-j-r-con-microfono-063-mv,DIADEMA J&R CON MICROFONO,<p>DIADEMA J&R CON MICROFONO con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,063-MV,250,shopify,1,deny,manual,54000,62100,TRUE,FALSE,https://tienda.pctintas.com/wp-content/uploads/Diadema-1-Plug-con-Microfono-JR.webp,1,active
diadema-koniycoi-kt-2100mv,DIADEMA KONIYCOI,<p>DIADEMA KONIYCOI con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,KT-2100MV,250,shopify,1,deny,manual,25000,28750,TRUE,FALSE,https://img.drz.lazcdn.com/static/bd/p/d1eab1048e25c8c483e188d8c1310a54.jpg_720x720q80.jpg,1,active
diadema-plug-3-5mm-jal-mic-k4-11726,DIADEMA PLUG 3.5MM JAL + MIC K4,<p>DIADEMA PLUG 3.5MM JAL + MIC K4 con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,11726,250,shopify,4,deny,manual,60000,69000,TRUE,FALSE,https://cambiosystem.com/wp-content/uploads/2025/06/Diadema-Plug-3.5mm-Mic-K4-11726.png,1,active
diadema-usb-wired-style-q5-11438,DIADEMA USB WIRED STYLE Q5,<p>DIADEMA USB WIRED STYLE Q5 con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,11438,250,shopify,6,deny,manual,80000,92000,TRUE,FALSE,https://luegopagocdn.azureedge.net/content-process/products-images/prod/2926/ec876bc2-d906-45ae-8090-1cf0dc9ba6dd.webp,1,active
diadema-gamer-usb-10489,DIADEMA GAMER USB,<p>DIADEMA GAMER USB con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,10489,250,shopify,5,deny,manual,70000,80500,TRUE,FALSE,https://ctsaul.com/tienda/wp-content/uploads/2025/02/xd-51.jpg,1,active
diadema-backlighthing-ela-8033105,DIADEMA BACKLIGHTHING ELA,<p>DIADEMA BACKLIGHTHING ELA con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,8033105,250,shopify,1,deny,manual,80000,92000,TRUE,FALSE,https://http2.mlstatic.com/D_NQ_NP_980011-CBT75366733745_032024-O.webp,1,active
diadema-pc-mic-basic-t87-10780,DIADEMA PC MIC BASIC T87,<p>DIADEMA PC MIC BASIC T87 con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,10780,250,shopify,5,deny,manual,18000,20700,TRUE,FALSE,https://cambiosystem.com/wp-content/uploads/2023/11/diadema-pc-mic-basic_10780_t-87_2.png,1,active
j-r-cargador-dell-19-5v-3-34a-jyrde02,J&R CARGADOR DELL 19.5V-3.34A,<p>J&R CARGADOR DELL 19.5V-3.34A con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,JYRDE02,250,shopify,4,deny,manual,80000,92000,TRUE,FALSE,https://www.eccom.pe/wp-content/uploads/2025/01/cargador-dell-19-5v-3-34a-65w-4-5mm-x-3-0mm-cargador-dell-19-5v-3-34a-65w-4-5mm-x-3-0mm.jpg,1,active
j-r-cargador-monitor-12v-5a-jyrlg03,J&R CARGADOR MONITOR 12V-5A,<p>J&R CARGADOR MONITOR 12V-5A con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,JYRLG03,250,shopify,2,deny,manual,85000,97750,TRUE,FALSE,https://lasmejorescompras.com/wp-content/uploads/2021/09/CARGADOR-JR-MONITOR-LG-12V-5A.jpg,1,active
j-r-cargador-monitor-lg-12v-3a-jyrlg01,J&R CARGADOR MONITOR LG 12V - 3A,<p>J&R CARGADOR MONITOR LG 12V - 3A con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,JYRLG01,250,shopify,1,deny,manual,80000,92000,TRUE,FALSE,https://www.resinformatica.com.ar/Temp/App_WebSite/App_PictureFiles/Items/4941_800.jpg,1,active
j-r-cargador-lenovo-20v-3-25a-jyrle08,J&R CARGADOR LENOVO 20V-3.25A,<p>J&R CARGADOR LENOVO 20V-3.25A con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,JYRLE08,250,shopify,1,deny,manual,85000,97750,TRUE,FALSE,https://allcomputo.com.co/wp-content/uploads/2024/03/Diseno-sin-titulo-20-1.png,1,active
j-r-cargador-sony-19-5v-2a-jyrso03,J&R CARGADOR SONY 19.5V-2A,<p>J&R CARGADOR SONY 19.5V-2A con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,JYRSO03,250,shopify,2,deny,manual,85000,97750,TRUE,FALSE,https://tecnosalsv.com/wp-content/uploads/2018/09/CARGADOR-SONY-19.5V-2A-40W.png,1,active
j-r-cargador-toshiba-19v-3-42a-jyrts02,J&R CARGADOR TOSHIBA 19V-3.42A,<p>J&R CARGADOR TOSHIBA 19V-3.42A con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,JYRTS02,250,shopify,2,deny,manual,85000,97750,TRUE,FALSE,https://http2.mlstatic.com/D_NQ_NP_815857-MPE96060155621_102025-O.webp,1,active
j-r-cargador-hp-18-5v-3-5a-jyrhp01,J&R CARGADOR HP 18.5V-3.5A,<p>J&R CARGADOR HP 18.5V-3.5A con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,JYRHP01,250,shopify,4,deny,manual,85000,97750,TRUE,FALSE,https://qostechnologies.com.ar/wp-content/uploads/2025/10/Diseno-sin-titulo-32.jpg,1,active
j-r-cargador-asus-19v-3-42a-jyras01,J&R CARGADOR ASUS 19V-3.42A,<p>J&R CARGADOR ASUS 19V-3.42A con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,JYRAS01,250,shopify,2,deny,manual,85000,97750,TRUE,FALSE,https://http2.mlstatic.com/D_NQ_NP_609107-MLM74292976187_012024-O.webp,1,active
j-r-cargador-asus-19v-1-75a-jyras07,J&R CARGADOR ASUS 19V-1.75A,<p>J&R CARGADOR ASUS 19V-1.75A con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,JYRAS07,250,shopify,1,deny,manual,95000,109250,TRUE,FALSE,https://http2.mlstatic.com/D_NQ_NP_635802-MLA49179394651_022022-O.webp,1,active
j-r-cargador-lenovo-19v-3-42a-jyrle07,J&R CARGADOR LENOVO 19V-3.42A,<p>J&R CARGADOR LENOVO 19V-3.42A con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,JYRLE07,250,shopify,2,deny,manual,85000,97750,TRUE,FALSE,https://http2.mlstatic.com/D_NQ_NP_812977-MLA87285457757_072025-O.webp,1,active
j-r-cargador-toshiba-19v-2-37a-jyras10,J&R CARGADOR TOSHIBA 19V-2.37A,<p>J&R CARGADOR TOSHIBA 19V-2.37A con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,JYRAS10,250,shopify,1,deny,manual,85000,97750,TRUE,FALSE,https://gigabyte-website-production.s3.amazonaws.com/PRO00203O-1.jpg,1,active
j-r-cargador-lenovo-20v-2a-jyrle11,J&R CARGADOR LENOVO 20V-2A,<p>J&R CARGADOR LENOVO 20V-2A con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,JYRLE11,250,shopify,2,deny,manual,85000,97750,TRUE,FALSE,https://http2.mlstatic.com/cargador-original-lenovo-20v-2a-g475-s9-s10-s12-garantizado-D_NQ_NP_907712-MLM31216662159_062019-F.jpg,1,active
j-r-cargador-tipo-c-90w-jyrty90,J&R CARGADOR TIPO C 90W,<p>J&R CARGADOR TIPO C 90W con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,JYRTY90,250,shopify,1,deny,manual,90000,103500,TRUE,FALSE,https://http2.mlstatic.com/D_NQ_NP_788640-MLA83535599258_042025-O.webp,1,active
mouse-gamer-serenity-mgjr-051,MOUSE GAMER SERENITY,<p>MOUSE GAMER SERENITY con garantía oficial Tecno+.</p>,Tecno+,Gaming y TV Box,Gaming y TV Box,"Gaming y TV Box, tecno-plus",TRUE,Title,Default Title,MGJR-051,250,shopify,1,deny,manual,90000,103500,TRUE,FALSE,https://micomputador.com.co/wp-content/uploads/2023/07/PhotoRoom-20230718_155321.png,1,active
mouse-gamer-daemon-mgjr-050,MOUSE GAMER DAEMON,<p>MOUSE GAMER DAEMON con garantía oficial Tecno+.</p>,Tecno+,Gaming y TV Box,Gaming y TV Box,"Gaming y TV Box, tecno-plus",TRUE,Title,Default Title,MGJR-050,250,shopify,2,deny,manual,90000,103500,TRUE,FALSE,https://compunadia.com/assets/media/mouses/mouse-gamer-daemon-jyr-050.jpg?u=1721323609,1,active
carg-para-acer-19v-3-42a-65w-80172,CARG PARA ACER 19V - 3.42A 65W,<p>CARG PARA ACER 19V - 3.42A 65W con garantía oficial Tecno+.</p>,Tecno+,Accesorios y Varios,Accesorios y Varios,"Accesorios y Varios, tecno-plus",TRUE,Title,Default Title,80172,250,shopify,4,deny,manual,60000,69000,TRUE,FALSE,https://autoplay.com.pk/wp-content/uploads/2024/03/2-Copy-1.jpg,1,active
basik-tech-cargador-hp-18-5v-3-5a-80176,BASIK TECH CARGADOR HP 18.5V-3.5A,<p>BASIK TECH CARGADOR HP 18.5V-3.5A con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,80176,250,shopify,4,deny,manual,70000,80500,TRUE,FALSE,https://http2.mlstatic.com/D_NQ_NP_748083-MPE78455385554_082024-O.webp,1,active
carg-para-asus-19v-1-75a-80184,CARG PARA ASUS 19V -1.75A,<p>CARG PARA ASUS 19V -1.75A con garantía oficial Tecno+.</p>,Tecno+,Accesorios y Varios,Accesorios y Varios,"Accesorios y Varios, tecno-plus",TRUE,Title,Default Title,80184,250,shopify,5,deny,manual,65000,74750,TRUE,FALSE,http://taino.pe/cdn/shop/files/Diseno_sin_titulo_450b6422-6cf1-409f-a72e-cfced1cf3729.png?v=1758319610,1,active
cargador-para-hp-azul-19-5v-3-33a-bskh04-80179,CARGADOR PARA HP AZUL 19.5V 3.33A BSKH04,<p>CARGADOR PARA HP AZUL 19.5V 3.33A BSKH04 con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,80179,250,shopify,5,deny,manual,75000,86250,TRUE,FALSE,https://megazone.pk/wp-content/uploads/2022/10/e75b85a0a3fdae4b5b354d26d0494fc0.jpg,1,active
carg-para-portatil-tipo-c-45w-bsktc0-80297,CARG PARA PORTATIL TIPO C 45W BSKTC0,<p>CARG PARA PORTATIL TIPO C 45W BSKTC0 con garantía oficial Tecno+.</p>,Tecno+,Accesorios y Varios,Accesorios y Varios,"Accesorios y Varios, tecno-plus",TRUE,Title,Default Title,80297,250,shopify,3,deny,manual,120000,138000,TRUE,FALSE,https://centersystemcolombia.com/wp-content/uploads/2025/06/CARG.-PARA-PORTATIL-TIPO-C-45W_80297_BSK-TC02_1-500x500.png,1,active
cargador-para-apple-16-5v-3-65a-bskapo1-80301,CARGADOR PARA APPLE 16.5V 3.65A BSKAPO1,<p>CARGADOR PARA APPLE 16.5V 3.65A BSKAPO1 con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,80301,250,shopify,2,deny,manual,110000,126500,TRUE,FALSE,https://cahuana.com.pe/wp-content/uploads/2023/09/0315024_Mesa-de-trabajo-1.jpg,1,active
cargador-para-apple-14-5v-3-1a-45w-bsk-ap-80423,CARGADOR PARA APPLE 14.5V/ 3.1A 45W BSK AP,<p>CARGADOR PARA APPLE 14.5V/ 3.1A 45W BSK AP con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,80423,250,shopify,3,deny,manual,120000,138000,TRUE,FALSE,https://www.mexicobateria.mx/adaptador/apple/img_big_Zoom/AP-L-45W-1.jpg,1,active
carg-lenovo-20v-3-25a-bsklen01-80180,CARG LENOVO 20V 3.25A BSKLEN01,<p>CARG LENOVO 20V 3.25A BSKLEN01 con garantía oficial Tecno+.</p>,Tecno+,Accesorios y Varios,Accesorios y Varios,"Accesorios y Varios, tecno-plus",TRUE,Title,Default Title,80180,250,shopify,4,deny,manual,70000,80500,TRUE,FALSE,https://tecnovision.cl/254-medium_default/cargador-lenovo-original-20v-225a.jpg,1,active
carg-para-hacer-19v-3-42a-65w-80299,CARG PARA HACER 19V-3.42A 65W,<p>CARG PARA HACER 19V-3.42A 65W con garantía oficial Tecno+.</p>,Tecno+,Accesorios y Varios,Accesorios y Varios,"Accesorios y Varios, tecno-plus",TRUE,Title,Default Title,80299,250,shopify,6,deny,manual,70000,80500,TRUE,FALSE,https://muchorepuesto.com/41602-large_default/cargador-original-chicony-insys-19v-342a-65w-valido-para-19v-21a-y-3a-35135.jpg,1,active
carg-apple-14-85v-3-05a-45w-bsk-80424,CARG APPLE 14.85V 3.05A 45W BSK,<p>CARG APPLE 14.85V 3.05A 45W BSK con garantía oficial Tecno+.</p>,Tecno+,Accesorios y Varios,Accesorios y Varios,"Accesorios y Varios, tecno-plus",TRUE,Title,Default Title,80424,250,shopify,2,deny,manual,100000,115000,TRUE,FALSE,https://latiendatecno.com/wp-content/uploads/2025/12/Podemer-clikear-la-categoria-y-que-salgan-todos-en-general-2.png,1,active
